Akkermansia muciniphila
Escherichia coli
Collinsella aerofaciens
Actinomyces naeslundii
Alloscardovia omnicolens
Bifidobacterium longum subsp. infantis
Bifidobacterium adolescentis
Capnocytophaga ochracea
Prevotella copri
Odoribacter splanchnicus
Parabacteroides merdae
Parabacteroides distasonis
Bacteroides xylanisolvens
Bacteroides vulgatus
Bacteroides uniformis
Bacteroides thetaiotaomicron
Bacteroides stercoris
Bacteroides ovatus
Bacteroides fragilis
Bacteroides caccae
Faecalibacterium prausnitzii
Eubacterium eligens
Eubacterium hallii
Roseburia intestinalis
Coprococcus comes
Eubacterium rectale
Dorea formicigenerans
Blautia hansenii
Ruminococcus gnavus
Clostridium scindens
Clostridium ramosum
Clostridium bolteae
Gemella morbillorum
Gemella haemolysans
Enterococcus faecalis
Streptococcus sanguinis
Streptococcus salivarius
Streptococcus mitis
Streptococcus anginosus
Lactobacillus ruminis
Lactobacillus reuteri
Lactobacillus paracasei
Lactobacillus gasseri
Lactobacillus fermentum
