Strain	index	parent_compound	pval	hit	Oxygen	Type
A-01	M_BUDESONIDE_1	Budesonid	1	FALSE	AA	C
A-02	M_BUDESONIDE_1	Budesonid	0.08706328820839718	FALSE	AA	C
A-03	M_BUDESONIDE_1	Budesonid	0.13866674592068878	FALSE	AA	C
A-04	M_BUDESONIDE_1	Budesonid	0.0655479990031045	FALSE	AA	C
A-05	M_BUDESONIDE_1	Budesonid	0.6553227747995991	FALSE	AA	C
C901	M_BUDESONIDE_1	Budesonid	1	FALSE	AA	C
A-06	M_BUDESONIDE_1	Budesonid	2.251950817890727e-17	TRUE	AA	C
A-07	M_BUDESONIDE_1	Budesonid	4.041858655217045e-6	TRUE	AA	C
A-08	M_BUDESONIDE_1	Budesonid	0.034989802016066475	TRUE	AA	C
A-09	M_BUDESONIDE_1	Budesonid	1.0541455444520022e-11	TRUE	AA	C
C902	M_BUDESONIDE_1	Budesonid	1	FALSE	AA	C
T-01	M_BUDESONIDE_1	Budesonid	0.012436945681499029	TRUE	AA	C
T-02	M_BUDESONIDE_1	Budesonid	0.8066764710077718	FALSE	AA	C
P-01	M_BUDESONIDE_1	Budesonid	0.018675844121882165	TRUE	AA	C
P-02	M_BUDESONIDE_1	Budesonid	0.04232103782445466	TRUE	AA	C
P-03	M_BUDESONIDE_1	Budesonid	0.004563092410553539	TRUE	AA	C
C910	M_BUDESONIDE_1	Budesonid	1	FALSE	AA	C
P-04	M_BUDESONIDE_1	Budesonid	0.0505967899140311	FALSE	AA	C
T-03	M_BUDESONIDE_1	Budesonid	0.16693250101457824	FALSE	AA	C
T-04	M_BUDESONIDE_1	Budesonid	1	FALSE	AA	C
A-10	M_BUDESONIDE_1	Budesonid	0.2143405845377239	FALSE	AA	C
T-05	M_BUDESONIDE_1	Budesonid	0.08706328820839718	FALSE	AA	C
C911	M_BUDESONIDE_1	Budesonid	1	FALSE	AA	C
A-01	M_PREDNISONE_1	Prednisone	1	FALSE	AA	C
A-02	M_PREDNISONE_1	Prednisone	0.5083962229191641	FALSE	AA	C
A-03	M_PREDNISONE_1	Prednisone	1	FALSE	AA	C
A-04	M_PREDNISONE_1	Prednisone	1	FALSE	AA	C
A-05	M_PREDNISONE_1	Prednisone	1	FALSE	AA	C
C901	M_PREDNISONE_1	Prednisone	1	FALSE	AA	C
A-06	M_PREDNISONE_1	Prednisone	1	FALSE	AA	C
A-07	M_PREDNISONE_1	Prednisone	1	FALSE	AA	C
A-08	M_PREDNISONE_1	Prednisone	1	FALSE	AA	C
A-09	M_PREDNISONE_1	Prednisone	0.5632493670463369	FALSE	AA	C
C902	M_PREDNISONE_1	Prednisone	1	FALSE	AA	C
T-01	M_PREDNISONE_1	Prednisone	1	FALSE	AA	C
T-02	M_PREDNISONE_1	Prednisone	0.02394921087704056	TRUE	AA	C
P-01	M_PREDNISONE_1	Prednisone	0.5876787678560427	FALSE	AA	C
P-02	M_PREDNISONE_1	Prednisone	1	FALSE	AA	C
P-03	M_PREDNISONE_1	Prednisone	0.2429295831187528	FALSE	AA	C
C910	M_PREDNISONE_1	Prednisone	1	FALSE	AA	C
P-04	M_PREDNISONE_1	Prednisone	0.19486926100397942	FALSE	AA	C
T-03	M_PREDNISONE_1	Prednisone	0.058501624679119395	FALSE	AA	C
T-04	M_PREDNISONE_1	Prednisone	0.6973313164438908	FALSE	AA	C
A-10	M_PREDNISONE_1	Prednisone	1	FALSE	AA	C
T-05	M_PREDNISONE_1	Prednisone	0.0041075398899086	TRUE	AA	C
C911	M_PREDNISONE_1	Prednisone	1	FALSE	AA	C
A-01	M_CORTISONE_1	Cortisone	1	FALSE	AA	C
A-02	M_CORTISONE_1	Cortisone	0.04641844035830674	TRUE	AA	C
A-03	M_CORTISONE_1	Cortisone	1	FALSE	AA	C
A-04	M_CORTISONE_1	Cortisone	0.03819743019089786	TRUE	AA	C
A-05	M_CORTISONE_1	Cortisone	1	FALSE	AA	C
C901	M_CORTISONE_1	Cortisone	1	FALSE	AA	C
A-06	M_CORTISONE_1	Cortisone	1	FALSE	AA	C
A-07	M_CORTISONE_1	Cortisone	0.0022018852909233663	TRUE	AA	C
A-08	M_CORTISONE_1	Cortisone	1	FALSE	AA	C
A-09	M_CORTISONE_1	Cortisone	0.017252637414933686	TRUE	AA	C
C902	M_CORTISONE_1	Cortisone	1	FALSE	AA	C
T-01	M_CORTISONE_1	Cortisone	1	FALSE	AA	C
T-02	M_CORTISONE_1	Cortisone	0.17564630765380693	FALSE	AA	C
P-01	M_CORTISONE_1	Cortisone	0.5286960224537821	FALSE	AA	C
P-02	M_CORTISONE_1	Cortisone	1	FALSE	AA	C
P-03	M_CORTISONE_1	Cortisone	1	FALSE	AA	C
C910	M_CORTISONE_1	Cortisone	1	FALSE	AA	C
P-04	M_CORTISONE_1	Cortisone	1	FALSE	AA	C
T-03	M_CORTISONE_1	Cortisone	1	FALSE	AA	C
T-04	M_CORTISONE_1	Cortisone	0.7729574625486421	FALSE	AA	C
A-10	M_CORTISONE_1	Cortisone	1	FALSE	AA	C
T-05	M_CORTISONE_1	Cortisone	0.6973313164438908	FALSE	AA	C
C911	M_CORTISONE_1	Cortisone	1	FALSE	AA	C
A-01	M_PREDNISOLONE_4	Prednisolone	1	FALSE	AA	C
A-02	M_PREDNISOLONE_4	Prednisolone	4.5530182100536355e-8	TRUE	AA	C
A-03	M_PREDNISOLONE_4	Prednisolone	1	FALSE	AA	C
A-04	M_PREDNISOLONE_4	Prednisolone	3.031336912602443e-4	TRUE	AA	C
A-05	M_PREDNISOLONE_4	Prednisolone	1	FALSE	AA	C
C901	M_PREDNISOLONE_4	Prednisolone	1	FALSE	AA	C
A-06	M_PREDNISOLONE_4	Prednisolone	1	FALSE	AA	C
A-07	M_PREDNISOLONE_4	Prednisolone	0.0655479990031045	FALSE	AA	C
A-08	M_PREDNISOLONE_4	Prednisolone	0.0025483906064804186	TRUE	AA	C
A-09	M_PREDNISOLONE_4	Prednisolone	0.6816794893255711	FALSE	AA	C
C902	M_PREDNISOLONE_4	Prednisolone	1	FALSE	AA	C
T-01	M_PREDNISOLONE_4	Prednisolone	0.855369552851998	FALSE	AA	C
T-02	M_PREDNISOLONE_4	Prednisolone	7.403564741801148e-4	TRUE	AA	C
P-01	M_PREDNISOLONE_4	Prednisolone	0.1387581140356666	FALSE	AA	C
P-02	M_PREDNISOLONE_4	Prednisolone	0.6694791540378815	FALSE	AA	C
P-03	M_PREDNISOLONE_4	Prednisolone	0.5868603273229892	FALSE	AA	C
C910	M_PREDNISOLONE_4	Prednisolone	1	FALSE	AA	C
P-04	M_PREDNISOLONE_4	Prednisolone	1	FALSE	AA	C
T-03	M_PREDNISOLONE_4	Prednisolone	1	FALSE	AA	C
T-04	M_PREDNISOLONE_4	Prednisolone	1	FALSE	AA	C
A-10	M_PREDNISOLONE_4	Prednisolone	1	FALSE	AA	C
T-05	M_PREDNISOLONE_4	Prednisolone	0.8559310520632232	FALSE	AA	C
C911	M_PREDNISOLONE_4	Prednisolone	1	FALSE	AA	C
A-01	M_HYDROCORTISONE_2	Hydrocortisone	2.2688662169376621e-7	TRUE	AA	C
A-02	M_HYDROCORTISONE_2	Hydrocortisone	1	FALSE	AA	C
A-03	M_HYDROCORTISONE_2	Hydrocortisone	0.10957974897008874	FALSE	AA	C
A-04	M_HYDROCORTISONE_2	Hydrocortisone	1	FALSE	AA	C
A-05	M_HYDROCORTISONE_2	Hydrocortisone	1.9119748119768868e-8	TRUE	AA	C
C901	M_HYDROCORTISONE_2	Hydrocortisone	1	FALSE	AA	C
A-06	M_HYDROCORTISONE_2	Hydrocortisone	1.440903824434717e-9	FALSE	AA	C
