Drug	Strain	ParentCompound	numPoolsTested	Time	Pool	plateID	Manual_Selection	RT	RT_MB	MZ	LeadingMZ	analysisType	Area	AreaControl	AreaControlsubtracted	pval	endConc	startConc	ratioCompoundIntensityStartEnd	hit
M_BUDESONIDE_1	A-01	Budesonid	3	0	01	3	TRUE	0.421	0.97	101.071	102.078	C_AA_TM	0	2822	5000	1	5000	5000	1	FALSE
M_BUDESONIDE_1	A-01	Budesonid	3	0	07	3	TRUE	0.999	0.97	101.071	102.078	C_AA_TM	0	0	5000	1	5000	5000	1	FALSE
M_BUDESONIDE_1	A-01	Budesonid	3	0	08	3	TRUE	0.432	0.97	101.071	102.078	C_AA_TM	0	0	5000	1	5000	5000	1	FALSE
M_BUDESONIDE_1	A-01	Budesonid	3	0.75	01	3	TRUE	0.486	0.97	101.071	102.078	C_AA_TM	3339	7609	5000	1	5000	5000	1	FALSE
M_BUDESONIDE_1	A-01	Budesonid	3	0.75	07	3	TRUE	0.987	0.97	101.071	102.078	C_AA_TM	0	0	5000	1	5000	5000	1	FALSE
M_BUDESONIDE_1	A-01	Budesonid	3	0.75	08	3	TRUE	0	0.97	101.071	102.078	C_AA_TM	0	0	5000	1	5000	5000	1	FALSE
M_BUDESONIDE_1	A-01	Budesonid	3	1.5	01	3	TRUE	0	0.97	101.071	102.078	C_AA_TM	0	0	5000	1	5000	5000	1	FALSE
M_BUDESONIDE_1	A-01	Budesonid	3	1.5	07	3	TRUE	0.998	0.97	101.071	102.078	C_AA_TM	0	0	5000	1	5000	5000	1	FALSE
M_BUDESONIDE_1	A-01	Budesonid	3	1.5	08	3	TRUE	0.855	0.97	101.071	102.078	C_AA_TM	0	0	5000	1	5000	5000	1	FALSE
M_BUDESONIDE_1	A-01	Budesonid	3	3	01	3	TRUE	0	0.97	101.071	102.078	C_AA_TM	0	0	5000	1	5000	5000	1	FALSE
M_BUDESONIDE_1	A-01	Budesonid	3	3	07	3	TRUE	0.989	0.97	101.071	102.078	C_AA_TM	0	0	5000	1	5000	5000	1	FALSE
M_BUDESONIDE_1	A-01	Budesonid	3	3	08	3	TRUE	0.444	0.97	101.071	102.078	C_AA_TM	5432	0	5432	1	5000	5000	1	FALSE
M_BUDESONIDE_1	A-01	Budesonid	3	6	01	3	TRUE	0	0.97	101.071	102.078	C_AA_TM	0	0	5000	1	5000	5000	1	FALSE
