Strain	index	parent_compound	pval	hit	Oxygen	Type
A-06	M_BUDESONIDE_1	Budesonid	4.8538985451216805e-18	TRUE	MA	C
A-07	M_BUDESONIDE_1	Budesonid	1.8969819691373462e-13	TRUE	MA	C
A-08	M_BUDESONIDE_1	Budesonid	2.1603298267533016e-9	TRUE	MA	C
A-09	M_BUDESONIDE_1	Budesonid	1.6496455326396743e-7	TRUE	MA	C
C907	M_BUDESONIDE_1	Budesonid	1	FALSE	MA	C
T-04	M_BUDESONIDE_1	Budesonid	4.7105402254490837e-4	TRUE	MA	C
A-10	M_BUDESONIDE_1	Budesonid	2.583595181187823e-5	TRUE	MA	C
T-03	M_BUDESONIDE_1	Budesonid	1	FALSE	MA	C
P-04	M_BUDESONIDE_1	Budesonid	0.04316117589803836	FALSE	MA	C
C909	M_BUDESONIDE_1	Budesonid	1	FALSE	MA	C
T-05	M_BUDESONIDE_1	Budesonid	0.20736181931705677	FALSE	MA	C
T-01	M_BUDESONIDE_1	Budesonid	0.008801750716462373	TRUE	MA	C
T-02	M_BUDESONIDE_1	Budesonid	0.0733550431637093	FALSE	MA	C
P-01	M_BUDESONIDE_1	Budesonid	0.20736181931705677	FALSE	MA	C
P-02	M_BUDESONIDE_1	Budesonid	0.50891675624935	FALSE	MA	C
P-03	M_BUDESONIDE_1	Budesonid	1	FALSE	MA	C
C908	M_BUDESONIDE_1	Budesonid	1	FALSE	MA	C
A-01	M_BUDESONIDE_1	Budesonid	0.1396527568338849	FALSE	MA	C
A-02	M_BUDESONIDE_1	Budesonid	4.237601997970222e-18	TRUE	MA	C
A-03	M_BUDESONIDE_1	Budesonid	0.00785690862066148	TRUE	MA	C
A-04	M_BUDESONIDE_1	Budesonid	1.1852634273891109e-7	TRUE	MA	C
A-05	M_BUDESONIDE_1	Budesonid	0.005245850095769399	TRUE	MA	C
C906	M_BUDESONIDE_1	Budesonid	1	FALSE	MA	C
A-06	M_PREDNISONE_1	Prednisone	0.5302218356109677	FALSE	MA	C
A-07	M_PREDNISONE_1	Prednisone	0.06712222240021666	FALSE	MA	C
A-08	M_PREDNISONE_1	Prednisone	0.6083384381526411	FALSE	MA	C
A-09	M_PREDNISONE_1	Prednisone	1	FALSE	MA	C
C907	M_PREDNISONE_1	Prednisone	1	FALSE	MA	C
T-04	M_PREDNISONE_1	Prednisone	0.5295921276509599	FALSE	MA	C
A-10	M_PREDNISONE_1	Prednisone	0.5295921276509599	FALSE	MA	C
T-03	M_PREDNISONE_1	Prednisone	0.6083384381526411	FALSE	MA	C
P-04	M_PREDNISONE_1	Prednisone	0.5805749695740618	FALSE	MA	C
C909	M_PREDNISONE_1	Prednisone	1	FALSE	MA	C
T-05	M_PREDNISONE_1	Prednisone	0.39469334668296024	FALSE	MA	C
T-01	M_PREDNISONE_1	Prednisone	1	FALSE	MA	C
