Drug	Strain	ParentCompound	numPoolsTested	Time	Pool	plateID	Manual_Selection	RT	RT_MB	MZ	LeadingMZ	analysisType	Area	AreaControl	AreaControlsubtracted	pval	endConc	startConc	ratioCompoundIntensityStartEnd	hit
M_BUDESONIDE_1	A-06	Budesonid	4	0	01	7	TRUE	0.938	0.97	101.071	102.078	C_MA_TM	0	0	5000	4.8538985451216805e-18	132950.5	15520.25	8.566260208437365	TRUE
M_BUDESONIDE_1	A-06	Budesonid	4	0	07	7	TRUE	0.943	0.97	101.071	102.078	C_MA_TM	17090	0	17090	4.8538985451216805e-18	132950.5	15520.25	8.566260208437365	TRUE
M_BUDESONIDE_1	A-06	Budesonid	4	0	08	7	TRUE	0.974	0.97	101.071	102.078	C_MA_TM	18687	0	18687	4.8538985451216805e-18	132950.5	15520.25	8.566260208437365	TRUE
M_BUDESONIDE_1	A-06	Budesonid	4	0	11	7	TRUE	0.941	0.97	101.071	102.078	C_MA_TM	21304	0	21304	4.8538985451216805e-18	132950.5	15520.25	8.566260208437365	TRUE
M_BUDESONIDE_1	A-06	Budesonid	4	0.75	01	7	TRUE	0.969	0.97	101.071	102.078	C_MA_TM	18266	0	18266	4.8538985451216805e-18	132950.5	15520.25	8.566260208437365	TRUE
M_BUDESONIDE_1	A-06	Budesonid	4	0.75	07	7	TRUE	0.954	0.97	101.071	102.078	C_MA_TM	21601	0	21601	4.8538985451216805e-18	132950.5	15520.25	8.566260208437365	TRUE
M_BUDESONIDE_1	A-06	Budesonid	4	0.75	08	7	TRUE	0.933	0.97	101.071	102.078	C_MA_TM	23977	0	23977	4.8538985451216805e-18	132950.5	15520.25	8.566260208437365	TRUE
M_BUDESONIDE_1	A-06	Budesonid	4	0.75	11	7	TRUE	0.975	0.97	101.071	102.078	C_MA_TM	23520	0	23520	4.8538985451216805e-18	132950.5	15520.25	8.566260208437365	TRUE
M_BUDESONIDE_1	A-06	Budesonid	4	1.5	01	7	TRUE	0.965	0.97	101.071	102.078	C_MA_TM	23134	0	23134	4.8538985451216805e-18	132950.5	15520.25	8.566260208437365	TRUE
M_BUDESONIDE_1	A-06	Budesonid	4	1.5	07	7	TRUE	0.954	0.97	101.071	102.078	C_MA_TM	23230	0	23230	4.8538985451216805e-18	132950.5	15520.25	8.566260208437365	TRUE
M_BUDESONIDE_1	A-06	Budesonid	4	1.5	08	7	TRUE	0.966	0.97	101.071	102.078	C_MA_TM	5075	0	5075	4.8538985451216805e-18	132950.5	15520.25	8.566260208437365	TRUE
