Drug	Strain	ParentCompound	numPoolsTested	Time	Pool	plateID	Manual_Selection	RT	RT_MB	MZ	LeadingMZ	analysisType	full_strain_name	abb_strain_name	NCBI tax ID	Area	AreaControl	AreaControlsubtracted	pval	endConc	startConc	ratioCompoundIntensityStartEnd	hit
M_BUDESONIDE_1	Streptococcus salivarius	Budesonid	4	0	01	6	TRUE	0	0.97	101.071	102.078	SS_AA_TM	Streptococcus salivarius	S. salivarius	1304	0	0	5000	1	5000	5000	1	FALSE
M_BUDESONIDE_1	Streptococcus salivarius	Budesonid	4	0	07	6	TRUE	0	0.97	101.071	102.078	SS_AA_TM	Streptococcus salivarius	S. salivarius	1304	0	0	5000	1	5000	5000	1	FALSE
M_BUDESONIDE_1	Streptococcus salivarius	Budesonid	4	0	08	6	TRUE	0.955	0.97	101.071	102.078	SS_AA_TM	Streptococcus salivarius	S. salivarius	1304	0	0	5000	1	5000	5000	1	FALSE
M_BUDESONIDE_1	Streptococcus salivarius	Budesonid	4	0	11	6	TRUE	1.005	0.97	101.071	102.078	SS_AA_TM	Streptococcus salivarius	S. salivarius	1304	0	NA	5000	1	5000	5000	1	FALSE
M_BUDESONIDE_1	Streptococcus salivarius	Budesonid	4	1.5	01	6	TRUE	1.037	0.97	101.071	102.078	SS_AA_TM	Streptococcus salivarius	S. salivarius	1304	0	0	5000	1	5000	5000	1	FALSE
M_BUDESONIDE_1	Streptococcus salivarius	Budesonid	4	1.5	07	6	TRUE	0.803	0.97	101.071	102.078	SS_AA_TM	Streptococcus salivarius	S. salivarius	1304	0	0	5000	1	5000	5000	1	FALSE
M_BUDESONIDE_1	Streptococcus salivarius	Budesonid	4	1.5	08	6	TRUE	0	0.97	101.071	102.078	SS_AA_TM	Streptococcus salivarius	S. salivarius	1304	0	0	5000	1	5000	5000	1	FALSE
M_BUDESONIDE_1	Streptococcus salivarius	Budesonid	4	1.5	11	6	TRUE	1.075	0.97	101.071	102.078	SS_AA_TM	Streptococcus salivarius	S. salivarius	1304	0	0	5000	1	5000	5000	1	FALSE
M_BUDESONIDE_1	Streptococcus salivarius	Budesonid	4	3	01	6	TRUE	1.066	0.97	101.071	102.078	SS_AA_TM	Streptococcus salivarius	S. salivarius	1304	0	0	5000	1	5000	5000	1	FALSE
M_BUDESONIDE_1	Streptococcus salivarius	Budesonid	4	3	07	6	TRUE	1.15	0.97	101.071	102.078	SS_AA_TM	Streptococcus salivarius	S. salivarius	1304	0	0	5000	1	5000	5000	1	FALSE
