Strain	index	parent_compound	pval	hit	Oxygen	Type
Actinomyces graevenitzii	M_BETAMETHASONE_1	Betamethasone	1	FALSE	MA	SS
Actinomyces graevenitzii	M_BUDESONIDE_1	Budesonid	1	FALSE	MA	SS
Actinomyces graevenitzii	M_CORTISONE_1	Cortisone	1	FALSE	MA	SS
Actinomyces graevenitzii	M_DEXAMETHASONE_3	Dexamethasone	1	FALSE	MA	SS
Actinomyces graevenitzii	M_DILTIAZEM_2	Diltiazem	1	FALSE	MA	SS
Actinomyces graevenitzii	M_EVEROLIMUS_1	Everolimus	1	FALSE	MA	SS
Actinomyces graevenitzii	M_HYDROCORTISONE_2	Hydrocortisone	1	FALSE	MA	SS
Actinomyces graevenitzii	M_METHYLPREDNISOLONE_1	Methylprednisolone	1	FALSE	MA	SS
Actinomyces graevenitzii	M_METHYLPREDNISOLONE_2	Methylprednisolone	1	FALSE	MA	SS
Actinomyces graevenitzii	M_MMF_9	Mycophenolate Mofetil	1	FALSE	MA	SS
Actinomyces graevenitzii	M_PREDNISOLONE_4	Prednisolone	1	FALSE	MA	SS
Actinomyces graevenitzii	M_PREDNISONE_1	Prednisone	1	FALSE	MA	SS
Actinomyces graevenitzii	M_PREDNISONE_2	Prednisone	1	FALSE	MA	SS
Actinomyces graevenitzii	M_RANITIDINE_8	Ranitidine	1	FALSE	MA	SS
Actinomyces graevenitzii	M_SIROLIMUS_1	Sirolimus	1	FALSE	MA	SS
Actinomyces graevenitzii	M_TACROLIMUS_8	Tacrolimus	1	FALSE	MA	SS
Actinomyces naeslundi	M_BETAMETHASONE_1	Betamethasone	1	FALSE	MA	SS
Actinomyces naeslundi	M_BUDESONIDE_1	Budesonid	1	FALSE	MA	SS
Actinomyces naeslundi	M_CORTISONE_1	Cortisone	1	FALSE	MA	SS
Actinomyces naeslundi	M_DEXAMETHASONE_3	Dexamethasone	1	FALSE	MA	SS
Actinomyces naeslundi	M_DILTIAZEM_2	Diltiazem	1	FALSE	MA	SS
Actinomyces naeslundi	M_EVEROLIMUS_1	Everolimus	1	FALSE	MA	SS
Actinomyces naeslundi	M_HYDROCORTISONE_2	Hydrocortisone	1	FALSE	MA	SS
Actinomyces naeslundi	M_METHYLPREDNISOLONE_1	Methylprednisolone	1	FALSE	MA	SS
Actinomyces naeslundi	M_METHYLPREDNISOLONE_2	Methylprednisolone	1	FALSE	MA	SS
Actinomyces naeslundi	M_MMF_9	Mycophenolate Mofetil	1	FALSE	MA	SS
Actinomyces naeslundi	M_PREDNISOLONE_4	Prednisolone	1	FALSE	MA	SS
Actinomyces naeslundi	M_PREDNISONE_1	Prednisone	1	FALSE	MA	SS
Actinomyces naeslundi	M_PREDNISONE_2	Prednisone	1	FALSE	MA	SS
Actinomyces naeslundi	M_RANITIDINE_8	Ranitidine	1	FALSE	MA	SS
Actinomyces naeslundi	M_SIROLIMUS_1	Sirolimus	1	FALSE	MA	SS
Actinomyces naeslundi	M_TACROLIMUS_8	Tacrolimus	1	FALSE	MA	SS
Alloscardovia omnicolens	M_BETAMETHASONE_1	Betamethasone	1	FALSE	MA	SS
Alloscardovia omnicolens	M_BUDESONIDE_1	Budesonid	1	FALSE	MA	SS
Alloscardovia omnicolens	M_CORTISONE_1	Cortisone	1	FALSE	MA	SS
Alloscardovia omnicolens	M_DEXAMETHASONE_3	Dexamethasone	1	FALSE	MA	SS
Alloscardovia omnicolens	M_DILTIAZEM_2	Diltiazem	1	FALSE	MA	SS
Alloscardovia omnicolens	M_EVEROLIMUS_1	Everolimus	1	FALSE	MA	SS
Alloscardovia omnicolens	M_HYDROCORTISONE_2	Hydrocortisone	1	FALSE	MA	SS
Alloscardovia omnicolens	M_METHYLPREDNISOLONE_1	Methylprednisolone	1	FALSE	MA	SS
Alloscardovia omnicolens	M_METHYLPREDNISOLONE_2	Methylprednisolone	1	FALSE	MA	SS
Alloscardovia omnicolens	M_MMF_9	Mycophenolate Mofetil	1	FALSE	MA	SS
Alloscardovia omnicolens	M_PREDNISOLONE_4	Prednisolone	1	FALSE	MA	SS
Alloscardovia omnicolens	M_PREDNISONE_1	Prednisone	1	FALSE	MA	SS
Alloscardovia omnicolens	M_PREDNISONE_2	Prednisone	1	FALSE	MA	SS
Alloscardovia omnicolens	M_RANITIDINE_8	Ranitidine	0.12533651338373836	FALSE	MA	SS
Alloscardovia omnicolens	M_SIROLIMUS_1	Sirolimus	1	FALSE	MA	SS
Alloscardovia omnicolens	M_TACROLIMUS_8	Tacrolimus	1	FALSE	MA	SS
Bifidobacterium longum	M_BETAMETHASONE_1	Betamethasone	1	FALSE	MA	SS
Bifidobacterium longum	M_BUDESONIDE_1	Budesonid	1	FALSE	MA	SS
Bifidobacterium longum	M_CORTISONE_1	Cortisone	1	FALSE	MA	SS
Bifidobacterium longum	M_DEXAMETHASONE_3	Dexamethasone	1	FALSE	MA	SS
Bifidobacterium longum	M_DILTIAZEM_2	Diltiazem	1	FALSE	MA	SS
Bifidobacterium longum	M_EVEROLIMUS_1	Everolimus	1	FALSE	MA	SS
Bifidobacterium longum	M_HYDROCORTISONE_2	Hydrocortisone	1	FALSE	MA	SS
Bifidobacterium longum	M_METHYLPREDNISOLONE_1	Methylprednisolone	1	FALSE	MA	SS
Bifidobacterium longum	M_METHYLPREDNISOLONE_2	Methylprednisolone	1	FALSE	MA	SS
Bifidobacterium longum	M_MMF_9	Mycophenolate Mofetil	1	FALSE	MA	SS
Bifidobacterium longum	M_PREDNISOLONE_4	Prednisolone	1	FALSE	MA	SS
Bifidobacterium longum	M_PREDNISONE_1	Prednisone	1	FALSE	MA	SS
Bifidobacterium longum	M_PREDNISONE_2	Prednisone	1	FALSE	MA	SS
Bifidobacterium longum	M_RANITIDINE_8	Ranitidine	1	FALSE	MA	SS
Bifidobacterium longum	M_SIROLIMUS_1	Sirolimus	1	FALSE	MA	SS
Bifidobacterium longum	M_TACROLIMUS_8	Tacrolimus	1	FALSE	MA	SS
Capnocytophaga ochracea	M_BETAMETHASONE_1	Betamethasone	1	FALSE	MA	SS
Capnocytophaga ochracea	M_BUDESONIDE_1	Budesonid	1	FALSE	MA	SS
Capnocytophaga ochracea	M_CORTISONE_1	Cortisone	1	FALSE	MA	SS
Capnocytophaga ochracea	M_DEXAMETHASONE_3	Dexamethasone	1	FALSE	MA	SS
Capnocytophaga ochracea	M_DILTIAZEM_2	Diltiazem	0.0034809724479107533	TRUE	MA	SS
Capnocytophaga ochracea	M_EVEROLIMUS_1	Everolimus	1	FALSE	MA	SS
Capnocytophaga ochracea	M_HYDROCORTISONE_2	Hydrocortisone	1	FALSE	MA	SS
Capnocytophaga ochracea	M_METHYLPREDNISOLONE_1	Methylprednisolone	1	FALSE	MA	SS
Capnocytophaga ochracea	M_METHYLPREDNISOLONE_2	Methylprednisolone	1	FALSE	MA	SS
Capnocytophaga ochracea	M_MMF_9	Mycophenolate Mofetil	1	FALSE	MA	SS
Capnocytophaga ochracea	M_PREDNISOLONE_4	Prednisolone	1	FALSE	MA	SS
Capnocytophaga ochracea	M_PREDNISONE_1	Prednisone	1	FALSE	MA	SS
