Drug	Strain	ParentCompound	numPoolsTested	Time	Pool	plateID	Manual_Selection	RT	RT_MB	MZ	LeadingMZ	analysisType	full_strain_name	abb_strain_name	NCBI tax ID	Area	AreaControl	AreaControlsubtracted	pval	endConc	startConc	ratioCompoundIntensityStartEnd	hit
M_BUDESONIDE_1	Actinomyces naeslundi	Budesonid	3	0	01	1	TRUE	0.966	0.97	101.071	102.078	SS_MA_TM	Actinomyces naeslundi	A. naeslundi	1655	3130	901	5000	1	5000	5000	1	FALSE
M_BUDESONIDE_1	Actinomyces naeslundi	Budesonid	3	0	07	1	TRUE	0.863	0.97	101.071	102.078	SS_MA_TM	Actinomyces naeslundi	A. naeslundi	1655	790	813	5000	1	5000	5000	1	FALSE
M_BUDESONIDE_1	Actinomyces naeslundi	Budesonid	3	0	08	1	TRUE	0.886	0.97	101.071	102.078	SS_MA_TM	Actinomyces naeslundi	A. naeslundi	1655	1363	401	5000	1	5000	5000	1	FALSE
M_BUDESONIDE_1	Actinomyces naeslundi	Budesonid	3	1.5	01	1	TRUE	0.988	0.97	101.071	102.078	SS_MA_TM	Actinomyces naeslundi	A. naeslundi	1655	3159	3978	5000	1	5000	5000	1	FALSE
M_BUDESONIDE_1	Actinomyces naeslundi	Budesonid	3	1.5	07	1	TRUE	0	0.97	101.071	102.078	SS_MA_TM	Actinomyces naeslundi	A. naeslundi	1655	0	1525	5000	1	5000	5000	1	FALSE
M_BUDESONIDE_1	Actinomyces naeslundi	Budesonid	3	1.5	08	1	TRUE	0.964	0.97	101.071	102.078	SS_MA_TM	Actinomyces naeslundi	A. naeslundi	1655	1273	2309	5000	1	5000	5000	1	FALSE
M_BUDESONIDE_1	Actinomyces naeslundi	Budesonid	3	3	01	1	TRUE	0.998	0.97	101.071	102.078	SS_MA_TM	Actinomyces naeslundi	A. naeslundi	1655	2925	859	5000	1	5000	5000	1	FALSE
M_BUDESONIDE_1	Actinomyces naeslundi	Budesonid	3	3	07	1	TRUE	0.753	0.97	101.071	102.078	SS_MA_TM	Actinomyces naeslundi	A. naeslundi	1655	1510	4266	5000	1	5000	5000	1	FALSE
M_BUDESONIDE_1	Actinomyces naeslundi	Budesonid	3	3	08	1	TRUE	0.976	0.97	101.071	102.078	SS_MA_TM	Actinomyces naeslundi	A. naeslundi	1655	1335	666	5000	1	5000	5000	1	FALSE
M_BUDESONIDE_1	Actinomyces naeslundi	Budesonid	3	6	01	1	TRUE	0.988	0.97	101.071	102.078	SS_MA_TM	Actinomyces naeslundi	A. naeslundi	1655	1781	3130	5000	1	5000	5000	1	FALSE
M_BUDESONIDE_1	Actinomyces naeslundi	Budesonid	3	6	07	1	TRUE	0.987	0.97	101.071	102.078	SS_MA_TM	Actinomyces naeslundi	A. naeslundi	1655	3916	3230	5000	1	5000	5000	1	FALSE
M_BUDESONIDE_1	Actinomyces naeslundi	Budesonid	3	6	08	1	TRUE	0.999	0.97	101.071	102.078	SS_MA_TM	Actinomyces naeslundi	A. naeslundi	1655	2138	747	5000	1	5000	5000	1	FALSE
M_BUDESONIDE_1	Actinomyces naeslundi	Budesonid	3	12	01	1	TRUE	1.043	0.97	101.071	102.078	SS_MA_TM	Actinomyces naeslundi	A. naeslundi	1655	1461	970	5000	1	5000	5000	1	FALSE
M_BUDESONIDE_1	Actinomyces naeslundi	Budesonid	3	12	07	1	TRUE	1.033	0.97	101.071	102.078	SS_MA_TM	Actinomyces naeslundi	A. naeslundi	1655	6089	1739	5000	1	5000	5000	1	FALSE
M_BUDESONIDE_1	Actinomyces naeslundi	Budesonid	3	12	08	1	TRUE	0.987	0.97	101.071	102.078	SS_MA_TM	Actinomyces naeslundi	A. naeslundi	1655	3895	1034	5000	1	5000	5000	1	FALSE
M_BUDESONIDE_1	Alloscardovia omnicolens	Budesonid	3	0	01	1	TRUE	0.965	0.97	101.071	102.078	SS_MA_TM	Alloscardovia omnicolens	A. omnicolens	1120979	1212	901	5000	1	5000	5000	1	FALSE
M_BUDESONIDE_1	Alloscardovia omnicolens	Budesonid	3	0	07	1	TRUE	0.977	0.97	101.071	102.078	SS_MA_TM	Alloscardovia omnicolens	A. omnicolens	1120979	3337	813	5000	1	5000	5000	1	FALSE
M_BUDESONIDE_1	Alloscardovia omnicolens	Budesonid	3	0	08	1	TRUE	1.021	0.97	101.071	102.078	SS_MA_TM	Alloscardovia omnicolens	A. omnicolens	1120979	2228	401	5000	1	5000	5000	1	FALSE
M_BUDESONIDE_1	Alloscardovia omnicolens	Budesonid	3	1.5	01	1	TRUE	0.822	0.97	101.071	102.078	SS_MA_TM	Alloscardovia omnicolens	A. omnicolens	1120979	1352	3978	5000	1	5000	5000	1	FALSE
M_BUDESONIDE_1	Alloscardovia omnicolens	Budesonid	3	1.5	07	1	TRUE	0.944	0.97	101.071	102.078	SS_MA_TM	Alloscardovia omnicolens	A. omnicolens	1120979	740	1525	5000	1	5000	5000	1	FALSE
M_BUDESONIDE_1	Alloscardovia omnicolens	Budesonid	3	1.5	08	1	TRUE	1.063	0.97	101.071	102.078	SS_MA_TM	Alloscardovia omnicolens	A. omnicolens	1120979	942	2309	5000	1	5000	5000	1	FALSE
M_BUDESONIDE_1	Alloscardovia omnicolens	Budesonid	3	3	01	1	TRUE	0.789	0.97	101.071	102.078	SS_MA_TM	Alloscardovia omnicolens	A. omnicolens	1120979	1175	859	5000	1	5000	5000	1	FALSE
M_BUDESONIDE_1	Alloscardovia omnicolens	Budesonid	3	3	07	1	TRUE	0.965	0.97	101.071	102.078	SS_MA_TM	Alloscardovia omnicolens	A. omnicolens	1120979	1434	4266	5000	1	5000	5000	1	FALSE
M_BUDESONIDE_1	Alloscardovia omnicolens	Budesonid	3	3	08	1	TRUE	1.011	0.97	101.071	102.078	SS_MA_TM	Alloscardovia omnicolens	A. omnicolens	1120979	1520	666	5000	1	5000	5000	1	FALSE
M_BUDESONIDE_1	Alloscardovia omnicolens	Budesonid	3	6	01	1	TRUE	0.964	0.97	101.071	102.078	SS_MA_TM	Alloscardovia omnicolens	A. omnicolens	1120979	4327	3130	5000	1	5000	5000	1	FALSE
