sampleID	sampleIDGenecore	oxygen
MB001	21s005298	AA
MB002	21s005299	AA
MB003	21s005300	AA
MB005	21s005301	AA
MB010 290720	21s005302	AA
MB006A	21s005303	AA
MB006S	21s005304	AA
MB007	21s005305	AA
MB008	21s005306	AA
MB009	21s005307	AA
MB011	21s005308	AA
MB013	21s005309	AA
MB014	21s005310	AA
MB015	21s005311	AA
MB016	21s005312	AA
MB017	21s005313	AA
MB018	21s005314	AA
MB019	21s005315	AA
MB020	21s005316	AA
MB021	21s005317	AA
MB001	21s005318	MA
MB002	21s005320	MA
MB003	21s005321	MA
MB005	21s005322	MA
MB010 290720	21s005323	MA
MB006	21s005324	MA
MB007	21s005325	MA
MB008	21s005326	MA
MB009	21s005327	MA
MB010 160321	21s005328	MA
MB011	21s005329	MA
MB013	21s005330	MA
MB014	21s005331	MA
MB015	21s005332	MA
MB016	21s005333	MA
MB017	21s005334	MA
MB018	21s005335	MA
MB019	21s005336	MA
MB020	21s005337	MA
MB021	21s005338	MA
